"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000267062.1|ENSG00000267062",6.93765851022458,19.1256195468832,2.38924711064409,8.00487294163864,1.19590086099959e-15,6.84150964560645e-11
"ENSG00000268083.5|ENSG00000268083",8.79723776707818,19.4516166382575,3.04780350722577,6.38217542310106,1.74589796690748e-10,4.99396654454216e-06
"ENSG00000268020.3|OR4G4P",0.310397280306524,0.0027329183314238,1.04523020991746,0.00261465685309615,0.997913808042135,0.999983293138072
"ENSG00000290826.1|ENSG00000290826",0.0382984933592251,-0.239881231021758,4.1011523521652,-0.058491177704021,0.953357389637264,0.999983293138072
"ENSG00000240361.3|OR4G11P",0.0450923899999589,-0.12328586483633,3.23953344488169,-0.0380566729542849,0.969642496238917,0.999983293138072
"ENSG00000186092.7|OR4F5",0.0631122159789574,-0.239875035438853,3.17266387295501,-0.0756068228606373,0.939731908146778,0.999983293138072
"ENSG00000238009.6|ENSG00000238009",12.6918251248917,0.029248178463703,0.166759845015691,0.175391014911,0.860772400220368,0.999983293138072
"ENSG00000222623.1|RNU6-1100P",0.0640387289832122,-0.123283344091512,1.82998358185363,-0.0673685519990491,0.946288304162957,0.999983293138072
"ENSG00000241599.1|ENSG00000241599",0.0336398885092389,0.0498257922352381,4.10115235216512,0.0121492175751368,0.990306565335678,0.999983293138072
"ENSG00000241860.7|ENSG00000241860",28.9132724087109,0.176277035749117,0.185778863701565,0.948854095868989,0.342694824172926,0.999983293138072
